title,company,location,job_type,salary_min,salary_max,currency,salary_disclosed,posted_date,url,source,scraped_at
Deployable Gender-Based Violence and Gender in Emergencies Specialist,Plan International,,"Plan International was founded over 75 years ago with a mission to promote and protect the rights of children.

The organisation was set up by British journalist John Langdon-Davies and refugee work...",,,,False,0001-05-23,https://www.myjobmag.com/job/deployable-gender-based-violence-and-gender-in-emergencies-specialist-plan-international-usa,myjobmag,2026-05-24T21:41:53.665286
Latest Jobs,Union Bank of Nigeria,,"Union Bank of Nigeria (""UBN”) was established in 1917 and is one of Nigeria’s long-standing and most respected financial institutions, offering a portfolio of banking services to individua...",,,,False,0001-05-23,https://www.myjobmag.com/jobs/latest-jobs-at-union-bank-of-nigeria-2,myjobmag,2026-05-24T21:41:53.665286
Junior Maintenance Technician – Engine (JMTE),WTS Energy,,"WTS Energy is the leading Consultant/Manpower Supply company to the international Oil, Gas and Energy industry. We supply Consultants to the Projects and Operations of our Clients. We also perform Out...",,,,False,0001-05-23,https://www.myjobmag.com/job/junior-maintenance-technician-engine-jmte-wts-energy,myjobmag,2026-05-24T21:41:53.665286
Current Openings,Flutterwave,,"Our mission is to power a new wave of prosperity across Africa. By enabling global digital payments on a continent that’s been largely cut off from the digital economy, we’re creating the...",,,,False,0001-05-23,https://www.myjobmag.com/jobs/current-openings-at-flutterwave-1,myjobmag,2026-05-24T21:41:53.665286
Business Development Manager (International Business),Proforce Limited,,PROFORCE LIMITED was incorporated in 2008 as a total defence solution provider specializing in armoured vehicles and personal protection. The company’s focus is on the delivery of confidence in...,,,,False,0001-05-23,https://www.myjobmag.com/job/business-development-manager-international-business-proforce-limited,myjobmag,2026-05-24T21:41:53.665286
Medical Laboratory Scientist,ExCare Services Ltd,,"ExCare Services Limited offers Pharmaceutical, Laboratory and immunisation services.",,,,False,0001-05-23,https://www.myjobmag.com/job/medical-laboratory-scientist-excare-services-limited-3,myjobmag,2026-05-24T21:41:53.665286
Business Development Executive,Montego Upstream Services Limited,,"Montego is an independent diversified natural resources company. We apply skill, market intelligence and entrepreneurial aptitude to everything we do. By being efficient, flexible and proactive, we add value for our customers and stakeholders.

We act responsibly, focusing on the long-term and investing in assets, infrastructure and relationships. By employing local nationals, we build strong relationships with local communities.",,,,False,0001-05-23,https://www.myjobmag.com/job/business-development-executive-montego-upstream-services-limited-7,myjobmag,2026-05-24T21:41:53.665286
Investment and Strategic Partnerships Manager,Future One Africa Network - FOAN Group,,"At Future One Africa Network, we envision a world where creativity knows no bounds, connections are limitless, and possibilities are endless. Our mission is to unleash artistic expression, foster conn...",,,,False,0001-05-23,https://www.myjobmag.com/job/investment-and-strategic-partnerships-manager-future-one-africa-network-foan-group,myjobmag,2026-05-24T21:41:53.665286
Jobs,Dangote Group,,The Dangote Group is one of the most diversified business conglomerates in Africa with a hard-earned reputation for excellent business practices and products' quality with its operational headquarters...,,,,False,0001-05-23,https://www.myjobmag.com/jobs/jobs-at-dangote-group-19,myjobmag,2026-05-24T21:41:53.665286
QHSE Officer,Ikosh Nigeria Limited,,Ikosh Nigeria Limited is a foremost complete discipline indigenous engineering company that renders a variety of services and operates within the oil and gas industry,,,,False,0001-05-23,https://www.myjobmag.com/job/qhse-officer-ikosh-nigeria-limited,myjobmag,2026-05-24T21:41:53.665286
Latest Jobs,Women for Women International,,"We believe strong women build strong nations.

Since 1993, Women for Women International has helped nearly 420,000 marginalized women in countries affected by war and conflict. We directly work with...",,,,False,0001-05-23,https://www.myjobmag.com/jobs/latest-jobs-at-women-for-women-international,myjobmag,2026-05-24T21:41:53.665286
Logistics Assistant,North-East Youth Initiative For Development (NEYIF),,"NEYIF is a National Non-Governmental, Non for Profit, Humanitarian and Development Organization that promotes an all-inclusive society for all. NEYIF was established in 2013, with operational offices...",,,,False,0001-05-23,https://www.myjobmag.com/job/logistics-assistant-north-east-youth-initiative-for-development-neyif,myjobmag,2026-05-24T21:41:53.665286
Social Media Manager / Youtuber,Highland Church,,"Highland Church is a community that is built on a foundation of acceptance. a Church that is home for everyone. We understand how it feels to be distant, disconnected, and undeserving of love.

We h...",,,,False,0001-05-23,https://www.myjobmag.com/job/social-media-manager-youtuber-highland-church,myjobmag,2026-05-24T21:41:53.665286
UI / UX Designer,InEvent,,"InEvent is an innovative and fast-paced B2B startup that develops intelligent solutions for hospitality and marketing within large enterprises, creating high-level management for the c-level suite and...",,,,False,0001-05-23,https://www.myjobmag.com/job/ui-ux-designer-inevent-1,myjobmag,2026-05-24T21:41:53.665286
Interim Human Resources Manager,Wale University,,"Wale University is an Open and Distance Learning institution committed to transforming education across Africa through innovation, real-world learning, and Christ-centered leadership. Our programs are...",,,,False,0001-05-23,https://www.myjobmag.com/job/interim-human-resources-manager-wale-university,myjobmag,2026-05-24T21:41:53.665286
